abstract,authors,n_citation,references,title,venue,year,id
"This paper considers a problem of coupled task scheduling on one processor, where all processing times are equal to 1, the gap has exact length h, precedence constraints are strict and the criterion is to minimise the schedule length. This problem is introduced e.g. in systems controlling radar operations. We show that the general problem is NP-hard.","['Jacek Blazewicz', 'Klaus Ecker', 'Tamás Kis', 'Michal Tanas']",14,,A note on the complexity of scheduling coupled tasks on a single processor,Journal of the Brazilian Computer Society,2001,4ab5db5e-7a0c-4c67-a3c5-b9e5c73f54b2
"In this paper, a weighting-delay-based method is developed for the study of the stability problem of a class of recurrent neural networks (RNNs) with time-varying delay. Different from previous results, the delay interval [0, d(t)] is divided into some variable subintervals by employing weighting delays. Thus, new delay-dependent stability criteria for RNNs with time-varying delay are derived by applying this weighting-delay method, which are less conservative than previous results. The proposed stability criteria depend on the positions of weighting delays in the interval [0, d(t)], which can be denoted by the weighting-delay parameters. Different weighting-delay parameters lead to different stability margins for a given system. Thus, a solution based on optimization methods is further given to calculate the optimal weighting-delay parameters. Several examples are provided to verify the effectiveness of the proposed criteria.","['Huaguang Zhang', 'Zhenwei Liu', 'Guang-Bin Huang', 'Zhanshan Wang']",266,"['11560f85-2543-466f-b338-5ef10a073db7', '14feaffa-1566-44d0-b798-80c027655c1a', '2b258346-2416-4156-abcf-f8f3c3bc99c4', '36739ece-b2b9-4c95-8e96-e1135048101c', '38d20ba0-db8e-47db-ab6b-f2898683a0a1', '4b782405-24db-456f-a058-2b8fd79ea3db', '56d975c5-f372-4eee-8667-1cae480cb57c', '669f9f47-d6bf-462e-b2a6-8300ac07835b', '714a8cc0-486f-4259-bb81-66b5f248e016', '758bcb76-b6a4-415b-8403-1fcd1a8c5643', 'b5af1799-bc84-45f5-823c-193b846455d7', 'b6bbf822-292c-4dfa-a98b-d61b798446cc', 'b76d4f7b-2eac-4eae-8a9d-bd21123e4356', 'bee7d6d4-1d2f-4b8b-951e-466c8e67785b', 'd32e8c91-9c64-438b-bee6-2c89ddb2db0a', 'd8263bb4-5ecb-454a-96b0-fb9a84be03b9', 'dc0ffeb4-7087-4f36-b599-43bb8de95ad1', 'f40a5ee9-78d1-40c9-ae7f-bc4cfc143624', 'f93b2e01-ba5c-47c3-94f3-de9ac10991d9']",Novel Weighting-Delay-Based Stability Criteria for Recurrent Neural Networks With Time-Varying Delay,IEEE Transactions on Neural Networks,2010,4ab5e3f4-9b58-4fbb-9bde-ee2f2185cc61
"Search for information is no longer exclusively limited within the native language of the user, but is more and more extended to other languages. This gives rise to the problem of cross-language information retrieval (CLIR), whose goal is to find relevant information written in a different language to a query. In addition to the problems of monolingual information retrieval (IR), translation is the key problem in CLIR: one should translate either the query or the documents from a language to another. However, this translation problem is not identical to full-text machine translation (MT): the goal is not to produce a human-readable translation, but a translation suitable for finding relevant documents. Specific translation methods are thus required. The goal of this book is to provide a comprehensive description of the specifi c problems arising in CLIR, the solutions proposed in this area, as well as the remaining problems. The book starts with a general description of the monolingual IR and CLIR problems. Different classes of approaches to translation are then presented: approaches using an MT system, dictionary-based translation and approaches based on parallel and comparable corpora. In addition, the typical retrieval effectiveness using different approaches is compared. It will be shown that translation approaches specifically designed for CLIR can rival and outperform high-quality MT systems. Finally, the book offers a look into the future that draws a strong parallel between query expansion in monolingual IR and query translation in CLIR, suggesting that many approaches developed in monolingual IR can be adapted to CLIR. The book can be used as an introduction to CLIR. Advanced readers can also find more technical details and discussions about the remaining research challenges in the future. It is suitable to new researchers who intend to carry out research on CLIR.",['Jian-Yun Nie'],108,"['05da32dc-92b9-49a6-86f0-54b6dfc51502', '0d2d8a21-065a-4f1f-a167-4eeb8222ca3c', '17137631-a0ab-48e6-8ffb-607ec171f5a5', '333a3435-4b92-4958-92c9-ec3ac586c063', '34d0159e-4244-474f-a9cf-758b0ebb5ecb', '41fc1b12-bc24-4259-b263-4792ca3572a7', '48bc5327-f3a0-4efc-860f-8ef399c43f77', '49945432-7716-4bbf-af7b-c164405548b3', '5443ee2f-a083-4829-bfd3-b92e50b6d78e', '56bdde8a-8fcf-46e0-a426-ce2d695d4e62', '6741ecf3-e230-44a8-9ad0-a2ca2804b93e', '7f2449b4-c535-4d5a-a322-56cc7cffd463', '808c6e5d-4f8a-4aae-9251-0daa41e97f81', '81e1e9ee-2fa2-42ff-8880-b3c66423f276', '81f773c9-9844-43b5-8a63-f9e1f6e1ace8', '88aac5cb-119b-4c92-8271-d94d51e18b90', '894abe0d-19ac-44cc-9e25-d8f4ce1ee44f', '8cfd8f8d-2580-47e6-8e97-7cb448f292a9', '934cae12-e8ed-4394-aad0-5b0148113804', '9bdbf6d6-db2b-4114-969a-37b4e03993b0', 'a26bb4d3-8093-47e5-b755-efed705c4bbd', 'a3b4fc64-334a-44ac-8485-f8d8ca866fe5', 'b535d6b7-ec76-45d1-a35b-38d38dcaa976', 'c388859a-bdcf-408c-ad63-3754a3b989da', 'cce3336d-27a2-4737-b4df-133d8db7dd71', 'eb306335-b866-47c2-a410-d6d2c177bafe', 'f450b6e2-3ae2-46f2-804a-42d4518d956d', 'f4be32eb-646b-4d3f-aec7-8dad39edb522', 'f8f0f0d6-30e6-4581-8f05-1f6204fd43b3']",Cross-Language Information Retrieval,Synthesis Lectures on Human Language Technologies,2010,4ab5e4bd-08e2-4007-825c-d34ce7cb231f
"I consider the known localized multicast protocol MSTEAM and derive the energy consumed by the multicast tree constructed by this protocol in the best case. Moreover, I show that the length of multicast links connecting into a multicast branch can not be bounded from above. For typical wireless networks where links have a limited communication range, however, I can show that asymptotically the relation between the derived best case energy consumption of MSTEAM and a known lower bound on multicast energy consumption is limited by a factor of 2.",['Hannes Frey'],0,"['23dd7fc0-1ebd-43ce-ab3e-43896512c209', '396dbc21-f0e1-4eca-a6f1-58d50328323e', '4445e24d-0955-434b-a813-a0da3b640ce0', '525b8414-3f0b-42bb-b0ff-e93c2dc22e38', '69a2a38b-6305-47fb-b0a8-3340ef91aeca', '6b1ab2ef-4d38-4bea-b99b-551be4fca283', '8c144323-7cd2-49fc-9cc0-0b2df2c98045', 'f96c1839-0164-41c4-a002-5e72ee9c2c59']",Best case energy analysis of localized euclidean minimum spanning tree based multicasting in ad hoc and sensor networks,modeling analysis and simulation of wireless and mobile systems,2010,4ab60a4a-edc5-4b04-8c17-b7e89e343a28
We describe an automatic quadrature routine which is specifically designed for real functions having a certain type of infinite oscillating tails. The algorithm is designed to integrate a vector function over an infinite interval. A FORTRAN implementation of the algorithm is included.,"['Terje O. Espelid', 'K. J. Overholt']",50,"['78590df2-7681-4c79-af2a-278804493faa', 'f560069c-65bc-4453-b853-a99258613250', 'f92a8869-1eb5-483e-bd8a-b3fee622fa93']",DQAINF: an algorithm for automatic integration of infinite oscillating tails,Numerical Algorithms,1994,4ab60d22-67d1-4683-8648-f1f2601d2ce0
"Interoperability between public administrations receives nowadays a lot of attention. Also in the European Union interworking is high on the priority list, but the challenges to achieve the European administrative space is enormous. Many research projects are undertaken, especially in the domain of semantic interoperability. Many of these efforts seem to start from a technical solution rather than from an actual business problem. By taking a narrow view on the problem space, they only promise limited support for the many challenges in the domain of interoperability and innovation of e-government services. In this paper we present a business driven approach that looks promising in enabling entire classes of interoperability solutions","['A. van Overeem', 'J. Witters', 'Vassilios Peristeras']",50,"['16a62ffc-43be-470c-b54f-d03a3391e757', '26e7aea6-61b1-4960-a796-5941dce73002', 'e776224b-07c2-427c-9a43-1742be3636e9', 'f46050aa-b9e5-4704-ab30-53fbbda7489e', 'fec63482-2b7a-46d7-9b57-717d1a705758']",An Interoperability Framework for Pan-European E-Government Services (PEGS),hawaii international conference on system sciences,2007,4ab62bc1-f71d-4eb3-b468-d5e85025ceb2
"The performance of a multihop wireless network is typically affected by the interference caused by transmissions in the same network. In a statistical fading environment, the interference effects become harder to predict. Information sources in a multihop wireless network can improve throughput and delay performance of data streams by implementing interference-aware packet injection mechanisms. Forcing packets to wait at the head of queues and coordinating packet injections among different sources enable effective control of copacket interference. In this paper, throughput and delay performance in interference-limited multihop networks is analyzed. Using nonlinear probabilistic hopping models, waiting times which jointly optimize throughput and delay performances are derived. Optimal coordinated injection strategies are also investigated as functions of the number of information sources and their separations. The resulting analysis demonstrates the interaction of performance constraints and achievable capacity in a wireless multihop network.","['Ahmed Bader', 'Eylem Ekici']",14,"['0005fd5c-a351-4527-8f92-c05785cbaa1a', '05bf2d5c-d02c-4fba-a284-6274613c4573', '072bf77e-8d9b-4325-9f75-ae52d23ecb2a', '2b837b12-4500-4d40-8b07-7dece11a2563', '54501e11-a547-41e7-bc2c-b1ed416a3960', '886d74c8-abc3-45c8-a7fa-39d492bba528', '8cc9ea80-563f-4e62-bda9-8ff6d71cf6ae', '8e76b153-4a9a-4fa1-b346-1dc3f47ad505', '8f597291-22a7-40f5-9ab5-587ce00bacc5', 'a301962a-6d47-4fcc-9a89-5c67e1fac20f', 'b4543ef2-2b22-4fd8-b9b2-8d75f66cd8b9', 'b5c2c141-a999-46fa-8b97-ef1863e206fc', 'f3977629-ce12-4503-95dd-f57929ca92c9', 'fe9a64a7-aa51-4435-82b7-64fb2a63ed6d']",Performance optimization of interference-limited multihop networks,IEEE\/ACM Transactions on Networking,2008,4ab62e1f-0ed3-42fc-bfd4-64d255150506
"We propose Action-Reaction Learning as an approach for analyzing and synthesizing human behaviour. This paradigm uncovers causal mappings between past and future events or between an action and its reaction by observing time sequences. We apply this method to analyze human interaction and to subsequently synthesize human behaviour. Using a time series of perceptual measurements, a system automatically discovers correlations between past gestures from one human participant (action) and a subsequent gesture (reaction) from another participant. A probabilistic model is trained from data of the human interaction using a novel estimation technique, Conditional Expectation Maximization (CEM). The estimation uses general bounding and maximization to monotonically find the maximum conditional likelihood solution. The learning system drives a graphical interactive character which probabilistically predicts a likely response to a user's behaviour and performs it interactively. Thus, after analyzing human interaction in a pair of participants, the system is able to replace one of them and interact with a single remaining user.","['Tony Jebara', 'Alex Pentland']",76,"['4d9393e3-9936-4bd4-8da2-8d3b0360ef93', '528f4f4d-7995-48ca-8e9a-83182d9d1c36', '56e5ed17-8b83-4493-898c-3282c07c4013', '57eadb55-c2fa-42e1-a0c4-9da5e1658ff9', '5c082884-b447-4c89-bdc7-7fd0c57c4c13', '62f26948-5305-49da-b0e6-c0206afb33dc', '838ef012-ce45-4921-b1eb-4f419462561a', '95c6635e-6828-468b-883a-d4f4723e5a9c', '99cd9eb6-70e8-4b6e-99db-79520995554c', 'c5b62464-c36b-49a5-ab53-563094b25c07']",Action Reaction Learning: Automatic Visual Analysis and Synthesis of Interactive Behaviour,international conference on computer vision systems,1999,4ab63381-d9bd-4be4-aa89-bb5cab20295e
"We propose a general circuit delay model that unifies all previous delay models, e.g. floating, viability, and transition delays, and models introduced in this paper, e.g. delays by sequences of vectors and minimum delays. Then, we formulate the computation of the exact circuit delays, under both bounded and unbounded gate delay models, as a mixed Boolean linear programming using a new formulation technique, called Timed Boolean Function. Next, we compute the exact delays of combinational circuits for transition delay and delay by sequences of vectors. We show that delays by sequences of vectors and floating (or viability) delays are invariant under both bounded and unbounded gate delay models. Finally, we address the effect of gate delay lower bounds on delays of circuits. We demonstrate the effectiveness of the method by giving exact delay results for all ISCAS benchmark circuits (except C6188).","['William K. C. Lam', 'Robert K. Brayton', 'Alberto L. Sangiovanni-Vincentelli']",36,"['11c3d880-e165-46fc-8462-5428b6ee00a3', '1ec1d469-0c63-436d-b8f3-47a059a32d5b', '45be70e4-4354-4716-8643-251297163803', '839169dd-a9aa-4390-9dbe-7d89cd742eb5', '85d678ec-49c8-4828-9400-4543c1ce99bc']",Circuit Delay Models and Their Exact Computation Using Timed Boolean Functions,design automation conference,1993,4ab63e25-5d11-4658-838d-199c55886b17
"In this paper we present a probabilistic calculus for formally modeling and reasoning about Mobile Ad Hoc Networks (MANETs) with unreliable connections and mobility of nodes. In our calculus, a MANET node can locally broadcast messages to a group of nodes within its physical transmission range. The group probability is also introduced since two distinct nodes within different groups should receive messages from the same sender with different possibilities. Our calculus naturally captures essential features of MANETs, i.e., local broadcast, mobility and probability. Moreover, we give a formal operational semantics of the calculus in terms of the labeled transition system and define the notion of open bisimulation. Finally, we illustrate our calculus with a toy example.","['Si Liu', 'Yongxin Zhao', 'Huibiao Zhu', 'Qin Li']",3,"['29b15320-3963-4548-8c97-7489949ed089', '362a03d8-55d9-4f60-90ac-d5e3280efd16', '56647d93-fa06-4218-9bb1-ec2feed125c3', '6d974303-0b90-46f8-82ba-4911d135da1e', '6f647cb8-fc9c-4507-8c51-ec1feb70b5e9', '776c609f-eb2a-44f1-bff9-a9fc69b91b9d', '9979a23d-3394-4c52-8582-0072b4b6e6d9']",Towards a Probabilistic Calculus for Mobile Ad Hoc Networks,theoretical aspects of software engineering,2011,4ab717e9-32e7-4647-9e51-81b66414a761
"Slow motion replay is a special effect used in the video entertainment field. It consists in a presentation of a video scene at a rate display lower than the original. Already consolidated as a commercial feature of analog video players, today slow motion is likely to be extended to the digital environment. Purpose of this paper is to present a technique combining fractals (I. F. S.) and wavelets to obtain a subjectively pleasant zoom and slow motion of digital video sequences. Active scene detection and post processing techniques are used to reduce computational cost and improve visual quality respectively. This study shows that the proposed technique produces better results than the state of the art techniques based either on data replication or classical interpolation.","['Daniele D. Giusto', 'Maurizio Murroni', 'Giulio Soro']",50,"['44433e99-1124-4705-9d79-110aa268bc65', 'a321def6-2a6e-4642-99e9-35eed64c4d01', 'b5753a3a-e668-4fa4-84ea-be447ab83ff3']",Slow motion replay of video sequences using fractal zooming,IEEE Transactions on Consumer Electronics,2005,4ab71fdd-c0cc-498e-8deb-84cbdb2b2448
"A semiblind method is proposed for simultaneously estimating the carrier frequency offsets (CFOs) and channels of an uplink multiuser multiple-input multiple-output orthogonal frequency-division multiplexing (MIMO-OFDM) system. By incorporating the CFOs into the transmitted symbols and channels, the MIMO-OFDM with CFO is remodeled into an MIMO-OFDM without CFO. The known blind method for channel estimation (Zeng and Ng in 2004) (Y. H. Zeng and T. S. Ng, ldquoA semi-blind channel estimation method for multi-user multi-antenna OFDM systems,rdquo IEEE Trans. Signal Process., vol. 52, no. 5, pp. 1419-1429, May 2004.) is then directly used for the remodeled system to obtain the shaped channels with an ambiguity matrix. A pilot OFDM block for each user is then exploited to resolve the CFOs and the ambiguity matrix. Two dedicated pilot designs, periodical and consecutive pilots, are discussed. Based on each pilot design and the estimated shaped channels, two methods are proposed to estimate the CFOs. As a result, based on the second-order statistics (SOS) of the received signal and one pilot OFDM block, the CFOs and channels are found simultaneously. Finally, a fast equalization method is given to recover the signals corrupted by the CFOs.","['Yonghong Zeng', 'Abdul Rahim Leyman', 'Tung-Sang Ng']",50,"['0b9c7b31-9a00-448a-897e-8b1fec6b4016', '13051746-a7cf-4c0b-8853-7e8d3b591aac', '1dc8d7b8-cd52-4e4e-98fd-6f07aae169da', '1e1557e2-9648-457f-9eb9-d1a875d3b97a', '26916931-25c5-4ede-a21c-d50dee62153f', '442b4a58-1d22-4f63-8f07-d7d38d4013e9', '4d5e6dac-fca0-4d63-a700-b0e2d592b204', '50fbef46-1b72-4e0c-b330-cf7b5c2043be', '5294ba9d-7d58-441b-9d7e-2cf62c180df4', '540add15-c089-4dc3-aba0-8e84260ff115', '5fe100d5-0a35-4cbd-9370-c765969f432a', '6600dd62-3848-45b2-afdf-ed5c36b95f31', '67363078-a977-4960-b409-67240ec81161', '7c404115-67de-4391-b2ce-4f96fccca185', 'aa6c34aa-4a2c-47b5-bd7e-39581ee26d84', 'd3c063da-1971-42d9-a8c8-c848b4f1aef9', 'da76a005-ad94-4711-a2ec-69cc936cc7bf', 'ec185fee-a1f0-45a8-bf50-97691591373b', 'ede3111c-69bf-48cc-b0cd-c612d53e0c4b', 'ffabadcc-eb3d-4833-9f44-90d05b77af6c']",Joint Semiblind Frequency Offset and Channel Estimation for Multiuser MIMO–OFDM Uplink,IEEE Transactions on Communications,2007,4ab7247f-7956-47b4-b0e0-67a60907c248
"Given is a wireless multihop network whose nodes are randomly distributed according to a homogeneous Poisson point process of density /spl rho/ (in nodes per unit area). The network employs Basagni's distributed mobility-adaptive clustering (DMAC) algorithm to achieve a self-organizing network structure. We show that the cluster density, i.e., the expected number of cluster- heads per unit area, is /spl rho//sub c/= /spl rho//spl divide/(1+/spl mu//spl divide/2), where /spl mu/ denotes the expected number of neighbors of a node. Consequently, a clusterhead is expected to incorporate half of its neighboring nodes into its cluster. This result also holds in a scenario with mobile nodes and serves as a bound for inhomogeneous spatial node distributions.",['Christian Bettstetter'],70,"['09b8b840-7c8c-4aaf-9756-200354d1a125', '2af582ae-3859-442b-bf40-dfd44cb5f712', '5206c217-1841-40ae-b9ac-67d246acd0ae', '5fec7385-fd12-43d7-af67-a0ce07fb8c33', '9071a14e-edb8-4ca7-b603-2b42db129fc6', '9ea5b51b-0018-4fc1-b2df-06f6029e0f58', 'a790a22b-5281-46cc-8894-073d9908a963', 'ad7cc0f6-0589-4c6b-b396-cb3b6747e086', 'c7b0d60b-9956-4254-b6d3-26fb1f8782bb', 'e2baa34c-eba8-45fc-ac64-693761c9680b', 'e96f684c-afaa-457a-a9c5-5e5305cfe735', 'ef4e6127-1de5-4998-a80c-571c606860a9']",The cluster density of a distributed clustering algorithm in ad hoc networks,international conference on communications,2004,4ab733a7-7a52-4311-a66c-cee3a35e196e
"The arrangement graph A/sub n,k/, which is a generalization of the star graph (n-t=1), presents more flexibility than the star graph in adjusting the major design parameters: number of nodes, degree, and diameter. Previously the arrangement graph has proven hamiltonian. In this paper we further show that the arrangement graph remains hamiltonian even if it is faulty. Let |F/sub e/| and |F/sub v/| denote the numbers of edge faults and vertex faults, respectively. We show that A/sub n,k/ is hamiltonian when (1) (k=2 and n-k/spl ges/4, or k/spl ges/3 and n-k/spl ges/4+[k/2]), and |F/sub e/|/spl les/k(n-k-2)-1, or (2) k/spl ges/2, n-k/spl ges/2+[k/2], and |F/sub e/|/spl les/k(n-k-3)-1, or (3) k/spl ges/2, n-k/spl ges/3, and |F/sub 3/|/spl les/k.","['Sun-Yuan Hsieh', 'Gen-Huey Chen']",4,"['2f9c8419-0a3e-435c-a15f-f22a2be5b5b5', '4aad86da-a99c-4043-b732-d2f2563650a0', '4d3bc222-99dc-424b-a913-2f71a9c3df4a', '58ba7e96-efd5-4ee2-b61d-e717410606cc', '728b8429-1aa9-460e-983a-52ce3625a50d', 'a3ba7e7a-5257-4473-b496-e51c1a61928d', 'cc7501bd-bbd9-42c2-8450-0025ee0ac46c', 'ddedcf0e-043f-4362-a33d-ae8ba33d07fe', 'de8d52b8-8fcc-4982-beb8-0631cbf4df5d']",Fault-tolerant ring embedding in faulty arrangement graphs,international conference on parallel and distributed systems,1997,4ab74996-f2a5-4307-9cc4-4865771ac689
"In this paper, we consider a bipartite distance-regular graph ?= (X, E) with diameter d? 3. We investigate the local structure of? , focusing on those vertices with distance at most 2 from a given vertex x. To do this, we consider a subalgebra R=R(x) ofMat0307a0x.gif X(C), where 0307a1x.gifX denotes the set of vertices in X at distance 2 from x. R is generated by matrices A, 0307a2x.gif J, and 0307a3x.gif D defined as follows. For all y, z? 0307a4x.gif X, the (y,z )-entry of A is 1 if y, z are at distance 2, and 0 otherwise. The (y, z)-entry of 0307a5x.gif J equals 1, and the (y,z )-entry of 0307a6x.gif D equals the number of vertices of X adjacent to each ofx , y, and z. We show that R is commutative and semisimple, with dimension at least 2. We assume thatdimR is one of 2, 3, or 4, and explore the combinatorial implications of this. We are motivated by the fact that if ? has a Q-polynomial structure, thendimR? 4.",['Brian Curtin'],12,"['0180cbef-9a10-4664-9b8b-1bded2faaa52', '2bf5944f-f7b0-4860-a281-b96cc40c69cc', '564c0f4f-ea2c-4ce7-916e-22ef700fa382', '9c3c9b2b-8213-49d3-9dd1-26647069f21a', 'a0473895-af04-4b63-a43c-92e280545d4f', 'd4494adf-a1b6-4ec2-9628-bb011e9904ce']",The Local Structure of a Bipartite Distance-regular Graph,European Journal of Combinatorics,1999,4ab77078-727b-4bba-be14-114927f14f34
"Recent advancements in the neuroscience and engineering of Brain-Machine Interfaces are providing a blueprint for how new co-adaptive designs based on reinforcement learning change the nature of a user's ability to accomplish tasks that were not possible using static methodologies. By designing adaptive controls and artificial intelligence into the neural interface, computers can become active assistants in goal-directed behavior and further enhance human performance. This paper presents a set of minimal prerequisites that enable a cooperative symbiosis and dialogue between biological and artificial systems.","['Justin C. Sanchez', 'Jose C. Principe']",0,"['10ec70d8-ad83-4bf4-949a-211496ecc8ba', '2aad3b0f-de56-4aef-a6fa-ec56fd3ecd35', '45e42362-69f9-4d47-894d-7fba45a34e70', '69b018a7-b4d0-4497-92e2-696ec9d48964', '88ee0296-cca7-4b67-bd96-87299f4b2e30', '89d97f99-d2f4-4f99-a8c5-0e459f0dce59', '9e120f46-f315-43bf-b04b-5e916f5b9aba', 'ac926330-234d-4698-ac11-4927fea380b9', 'bea81ac7-d48a-4f4b-8223-8d20b5e550ce', 'd749cb94-5fbb-404a-9f3b-50584022b5b2', 'e0f3a738-4ab2-40d1-ba44-506d81c1d230', 'f2c93529-5961-49a5-b366-c964c5bbe709']",Prerequesites for symbiotic brain-machine interfaces,"systems, man and cybernetics",2009,4ab7aa6a-306b-4590-9b15-c01727bd08af
"This paper computes and analyzes the natural compliance of fixturing and grasping arrangements. Traditionally, linear-spring contact models have been used to determine the natural compliance of multiple contact arrangements. However, these models are not supported by experiments or elasticity theory. We derive a closed-form formula for the stiffness matrix of multiple contact arrangements that admits a variety of nonlinear contact models, including the well-justified Hertz model. The stiffness matrix formula depends on the geometrical and material properties of the contacting bodies and on the initial loading at the contacts. We use the formula to analyze the relative influence of first- and second-order geometrical effects on the stability of multiple contact arrangements. Second-order effects, i.e., curvature effects, are often practically beneficial and sometimes lead to significant grasp stabilization. However, in some contact arrangements, curvature has a dominant destabilizing influence. Such contact arrangements are deemed stable under an all-rigid body model but, in fact, are unstable when the natural compliance of the contacting bodies is taken into account. We also consider the combined influence of curvature and contact preloading on stability. Contrary to conventional wisdom, under certain curvature conditions, higher preloading can increase rather than decrease grasp stability. Finally, we use the stiffness matrix formula to investigate the impact of different choices of contact model on the assessment of the stability of multiple contact arrangements. While the linear-spring model and the more realistic Hertz model usually lead to the same stability conclusions, in some cases, the two models lead to different stability results.","['Qiao Lin', 'Joel W. Burdick', 'Elon Rimon']",18,"['058ba639-f93c-477c-9aa3-6898044408cc', '0d3a1565-74bf-4560-a15c-6dd64d8a4362', '16af9b7b-ba29-4e8d-979e-00219782f6dd', '25f6352d-dcfb-4b34-bd35-c4f0363de4f5', '38b0ecd6-6c65-4c26-918f-6c5e3bbe3223', '4de88a24-9968-45ca-9954-8078940f829e', '62de4e4c-d17b-4a88-a154-d9933f3b01c9', '6e00217d-555b-472c-9d8b-cc2091fb8a4a', '706e6699-dc8c-4b1b-877b-0d5744fd4dd5', '78eb03de-3c64-4774-8bda-d41a1db8ee2e', '8e8dc45b-8297-4343-81b0-cbdf89741900', '90d3612c-2fae-4370-a570-49029a6afbc7', 'a385e78c-6255-4751-8a18-8e96dc79f0bf', 'c47d004f-ab41-4086-baf2-0518e8cdd3f1', 'c50ab6c7-0d4e-41a9-9536-02456f985365', 'd6256404-a9ce-4be3-8e60-5f3882c7abea', 'dac9b8ea-e6b5-4389-a7ea-e50802442071', 'e1977aaa-b88a-467e-8c35-be5f2042c87d']",Computation and analysis of natural compliance in fixturing and grasping arrangements,IEEE Transactions on Robotics,2004,4ab7b13e-bc23-4ac8-901e-40af53bd2e2d
"We consider the problem of finding points of interest along local curves of binary images. Information theoretic vector quantization is a clustering algorithm that shifts cluster centers towards the modes of principal curves of a data set. Its runtime characteristics, however, do not allow for efficient processing of many data points. In this paper, we show how to solve this problem when dealing with data on a 2D lattice. Borrowing concepts from signal processing, we adapt information theoretic clustering to the quantization of binary images and gain significant speedup.","['Christian Bauckhage', 'Christian Thurau']",2,"['7ab78f6e-c0c4-4c04-bf0d-c14cd2e1565f', '842403d3-e28d-4dca-b1ed-9df07b48e9d0', '91fc32c5-4d22-4bb8-90a4-3306c674ed95', 'c8f80ea6-4602-458c-9a70-daf1c646c89b', 'fe1a8e82-6fb5-42a4-9766-74e55757c2c7']",Adapting Information Theoretic Clustering to Binary Images,international conference on pattern recognition,2010,4ab7b22e-5a7c-4ccf-a715-ed242f277ff9
"Motivation: For establishing prognostic predictors of various diseases using DNA microarray analysis technology, it is desired to find selectively significant genes for constructing the prognostic model and it is also necessary to eliminate non-specific genes or genes with error before constructing the model.#R##N##R##N#Results: We applied projective adaptive resonance theory (PART) to gene screening for DNA microarray data. Genes selected by PART were subjected to our FNN-SWEEP modeling method for the construction of a cancer class prediction model. The model performance was evaluated through comparison with a conventional screening signal-to-noise (S2N) method or nearest shrunken centroids (NSC) method. The FNN-SWEEP predictor with PART screening could discriminate classes of acute leukemia in blinded data with 97.1% accuracy and classes of lung cancer with 90.0% accuracy, while the predictor with S2N was only 85.3 and 70.0% or the predictor with NSC was 88.2 and 90.0%, respectively. The results have proven that PART was superior for gene screening.#R##N##R##N#Availability: The software is available upon request from the authors.#R##N##R##N#Contact: honda@nubio.nagoya-u.ac.jp","['Hiro Takahashi', 'Takeshi Kobayashi', 'Hiroyuki Honda']",50,"['0742bed7-389c-4734-800a-c1694a373585', '8a54e596-5c64-4b50-a52b-e7cee97bce84', 'a24cb345-f658-4e58-b081-809f36d67388']",Construction of robust prognostic predictors by using projective adaptive resonance theory as a gene filtering method,Bioinformatics,2005,4ab7b6e2-1cff-472a-9637-95c7938be3e1
"The connection between minimum entropy control and risk-sensitive control for linear time-varying systems is investigated. For time-invariant systems, the entropy functional and the linear exponential quadratic Gaussian cost are the same. In this paper, it is shown that this is not true for general time varying systems. It does hold, however, when the system admits a state-space representation.","['Marc A. Peters', 'Pablo A. Iglesias']",50,[],The relationship between minimum entropy control and risk-sensitive control for time-varying systems,IEEE Transactions on Automatic Control,1999,4ab7e73d-2b57-4437-a954-5177e595c050
"Two-operand binary addition is the most widely used arithmetic operation in modern datapath designs. To improve the efficiency of this operation, it is desirable to use an adder with good performance and area tradeoff characteristics. This paper presents an efficient carry-lookahead adder architecture based on the parallel-prefix computation graph. In our proposed method, we define the notion of triple-carry-operator, which computes the generate and propagate signals for a merged block which combines three adjacent blocks. We use this in conjunction with the classic approach of the carry-operator to compute the generate and propagate signals for a merged block combining two adjacent blocks. The timing-driven nature of the proposed design reduces the depth of the adder. In addition, we use a ripple-carry type of structure in the nontiming critical portion of the parallel-prefix computation network. These techniques help produce a good timing-area tradeoff characteristic. The experimental results indicate that our proposed adder is significantly faster than the popular Brent-Kung adder with some area overhead. On the adder hand, the proposed adder also shows marginally faster performance than the fast Kogge-Stone adder with significant area savings.","['S. Das', 'Sunil P. Khatri']",7,"['00f190f5-6c08-466f-ab7d-6840f0342106', '19ca2c31-f9c1-4960-a527-3f5a0193db52', '4dbc527f-de70-47d9-91a3-23e62d24256d', '61fb4d35-86e2-4dd5-9d3e-00c537ddc384', '785537a5-5676-4ebd-adcc-b72b78497b72', '9ad65761-3b6f-437e-86df-bd40e632f5a7', '9fc52d0d-7ce7-4c0d-9a61-3d93d5332479', 'ae667ab3-94ef-42dc-af44-f150d5449315', 'c7d53b3f-6ab6-4e32-bd88-3debf4359b10', 'd69a33c0-0ae7-4838-9f3c-8d2dd4d2049b', 'e19d43b8-2bc6-4e56-aef0-245697a66f7d', 'f92b35dc-56f9-444f-8af1-284d61886e97']",A Novel Hybrid Parallel-Prefix Adder Architecture With Efficient Timing-Area Characteristic,IEEE Transactions on Very Large Scale Integration Systems,2008,4ab7ed45-2bf9-43a9-b735-b02a4757c0ee
